"ISSN","Título","Área de Avaliação","Estrato"
"1808-0251","AMBIÊNCIA","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"2175-9405","AMBIÊNCIA (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"1390-1230","AMERICA LATINA EN MOVIMIENTO","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"1945-7731","AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"2325-4165","AMERICAN INTERNATIONAL JOURNAL OF SOCIAL SCIENCE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"0002-9092","AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"1467-8276","AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS (ONLINE)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
"1945-5488","AMERICAN JOURNAL OF ECONOMICS AND BUSINESS ADMINISTRATION","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B3"
"2328-5699","AMERICAN JOURNAL OF ENVIRONMENTAL PROTECTION","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","B4"
"0271-3586","AMERICAN JOURNAL OF INDUSTRIAL MEDICINE (PRINT)","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A2"
"0092-5853","AMERICAN JOURNAL OF POLITICAL SCIENCE","ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","A1"
