"ISSN","Título","Área de Avaliação","Estrato"
"1983-2850","REVISTA BRASILEIRA DE HISTÓRIA DAS RELIGIÕES","EDUCAÇÃO                                          ","C"
"2175-3423","REVISTA BRASILEIRA DE HISTÓRIA E CIÊNCIAS SOCIAIS","EDUCAÇÃO                                          ","B1"
"1414-5685","REVISTA BRASILEIRA DE INFORMÁTICA NA EDUCAÇÃO","EDUCAÇÃO                                          ","B3"
"1984-6398","REVISTA BRASILEIRA DE LINGUISTICA APLICADA","EDUCAÇÃO                                          ","B1"
"0103-6963","REVISTA BRASILEIRA DE LITERATURA COMPARADA","EDUCAÇÃO                                          ","B1"
"1809-5909","REVISTA BRASILEIRA DE MEDICINA DA FAMÍLIA E COMUNIDADE","EDUCAÇÃO                                          ","C"
"2179-7994","REVISTA BRASILEIRA DE MEDICINA DE FAMILIA E COMUNIDADE","EDUCAÇÃO                                          ","C"
"1517-8692","REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (IMPRESSO)","EDUCAÇÃO                                          ","B1"
"1806-9940","REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (ONLINE)","EDUCAÇÃO                                          ","B1"
"0100-2430","REVISTA BRASILEIRA DE MEDICINA VETERINÁRIA","EDUCAÇÃO                                          ","A2"
"2357-9676","REVISTA BRASILEIRA DE MEIO AMBIENTE DIGITAL E SOCIEDADE DA INFORMAÇÃO","EDUCAÇÃO                                          ","C"
"2236-5877","REVISTA BRASILEIRA DE MONITORAMENTO E AVALIAÇÃO","EDUCAÇÃO                                          ","C"
"2316-994X","REVISTA BRASILEIRA DE MUSICOTERAPIA","EDUCAÇÃO                                          ","C"
"1981-9927","REVISTA BRASILEIRA DE NUTRIÇÃO ESPORTIVA","EDUCAÇÃO                                          ","B5"
"1679-3390","REVISTA BRASILEIRA DE ORIENTAÇÃO PROFISSIONAL","EDUCAÇÃO                                          ","B1"
"1806-5104","REVISTA BRASILEIRA DE PESQUISA EM EDUCAÇÃO EM CIÊNCIAS","EDUCAÇÃO                                          ","A2"
"1982-6125","REVISTA BRASILEIRA DE PESQUISA EM TURISMO","EDUCAÇÃO                                          ","B2"
"2176-4360","REVISTA BRASILEIRA DE PESQUISA SOBRE FORMAÇÃO DE PROFESSORES","EDUCAÇÃO                                          ","B3"
"1516-0572","REVISTA BRASILEIRA DE PLANTAS MEDICINAIS (IMPRESSO)","EDUCAÇÃO                                          ","B1"
"1678-166X","REVISTA BRASILEIRA DE POLÍTICA E ADMINISTRAÇÃO DA EDUCAÇÃO","EDUCAÇÃO                                          ","A2"
"1678-166X","REVISTA BRASILEIRA DE POLÍTICA E ADMINISTRAÇÃO DA EDUCAÇÃO","EDUCAÇÃO                                          ","A2"
"1981-9900","REVISTA BRASILEIRA DE PRESCRIÇÃO E FISIOLOGIA DO EXERCÍCIO","EDUCAÇÃO                                          ","B4"
"0486-641X","REVISTA BRASILEIRA DE PSICANÁLISE","EDUCAÇÃO                                          ","B5"
"0486-641X","REVISTA BRASILEIRA DE PSICANÁLISE (IMPRESSO)","EDUCAÇÃO                                          ","B5"
"2238-8001","REVISTA BRASILEIRA DE PSICOLOGIA APLICADA AO ESPORTE E À MOTRICIDADE HUMANA","EDUCAÇÃO                                          ","C"
"2176-2120","REVISTA BRASILEIRA DE PSICOLOGIA APLICADA AO ESPORTE E À MOTRICIDADE HUMANA","EDUCAÇÃO                                          ","C"
"1516-4446","REVISTA BRASILEIRA DE PSIQUIATRIA (SÃO PAULO. 1999. IMPRESSO)","EDUCAÇÃO                                          ","B1"
"2175-0858","REVISTA BRASILEIRA DE QUALIDADE DE VIDA","EDUCAÇÃO                                          ","C"
"2318-0331","REVISTA BRASILEIRA DE RECURSOS HÍDRICOS","EDUCAÇÃO                                          ","C"
"0482-5004","REVISTA BRASILEIRA DE REUMATOLOGIA (IMPRESSO)","EDUCAÇÃO                                          ","A2"
"1519-3829","REVISTA BRASILEIRA DE SAÚDE MATERNO INFANTIL (IMPRESSO)","EDUCAÇÃO                                          ","B1"
"1981-1659","REVISTA BRASILEIRA DE SEGURANÇA PÚBLICA","EDUCAÇÃO                                          ","B2"
"0103-6122","REVISTA BRASILEIRA DE SEXUALIDADE HUMANA","EDUCAÇÃO                                          ","C"
"2317-8507","REVISTA BRASILEIRA DE SOCIOLOGIA","EDUCAÇÃO                                          ","B4"
"0103-2402","REVISTA BRASILEIRA DE SOCIOLOGIA","EDUCAÇÃO                                          ","B4"
"1517-5545","REVISTA BRASILEIRA DE TERAPIA COMPORTAMENTAL E COGNITIVA (IMPRESSO)","EDUCAÇÃO                                          ","C"
"2176-9656","REVISTA BRASILEIRA DE TRADUÇÃO VISUAL","EDUCAÇÃO                                          ","C"
"1806-1230","REVISTA BRASILEIRA EM PROMOÇÃO DA SAÚDE (ONLINE)","EDUCAÇÃO                                          ","B5"
"1415-3580","REVISTA BRASILEIRA MULTIDISCIPLINAR - REBRAM (UNIARA)","EDUCAÇÃO                                          ","C"
"2177-6954","REVISTA C3","EDUCAÇÃO                                          ","C"
"1989-5909","REVISTA CABÁS","EDUCAÇÃO                                          ","C"
"2316-977X","REVISTA CADERNOS DE CIÊNCIAS SOCIAIS DA UFRPE","EDUCAÇÃO                                          ","C"
"2178-2229","REVISTA CADERNOS DE PESQUISA - UFMA","EDUCAÇÃO                                          ","A2"
"2317-0352","REVISTA CAFÉ COM SOCIOLOGIA","EDUCAÇÃO                                          ","B5"
"0718-4565","REVISTA CALIDAD EN LA EDUCACIÓN","EDUCAÇÃO                                          ","B1"
"2176-1183","REVISTA CAMPO & NEGÓCIOS","EDUCAÇÃO                                          ","C"
"1677-7794","REVISTA CANTAREIRA","EDUCAÇÃO                                          ","C"
"2254-7630","REVISTA CARIBEÑA DE CIENCIAS SOCIALES","EDUCAÇÃO                                          ","B3"
"1516-1846","REVISTA CEFAC (IMPRESSO)","EDUCAÇÃO                                          ","B1"
"1982-0216","REVISTA CEFAC (ONLINE)","EDUCAÇÃO                                          ","B1"
"2318-8561","REVISTA CENÁRIO","EDUCAÇÃO                                          ","C"
"2175-7275","REVISTA CEREUS","EDUCAÇÃO                                          ","C"
"1516-2664","REVISTA CESUMAR","EDUCAÇÃO                                          ","B5"
"2176-9176","REVISTA CESUMAR CIÊNCIAS HUMANAS E SOCIAIS APLICADAS","EDUCAÇÃO                                          ","B5"
"0719-7551","REVISTA CHILENA DE DERECHO DEL TRABAJO Y DE LA SEGURIDAD SOCIAL","EDUCAÇÃO                                          ","B5"
"0719-2215","REVISTA CHILENA DE ESTUDIOS MEDIEVALES","EDUCAÇÃO                                          ","C"
"0717-7526","REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGÍA (EN LÍNEA)","EDUCAÇÃO                                          ","B1"
"0717-5346","REVISTA CHILENA DE TERAPIA OCUPACIONAL","EDUCAÇÃO                                          ","C"
"1980-4679","REVISTA CHÃO DA ESCOLA","EDUCAÇÃO                                          ","C"
"1794-8347","REVISTA CIENCIAS ESTRATEGICAS","EDUCAÇÃO                                          ","B1"
"2358-260X","REVISTA CIENTIFIC@","EDUCAÇÃO                                          ","C"
"2175-4020","REVISTA CIENTÍFIC@ UNIVERSITAS","EDUCAÇÃO                                          ","C"
"2359-3865","REVISTA CIENTÍFICA & TECNOLÓGICA","EDUCAÇÃO                                          ","C"
"1984-3240","REVISTA CIENTÍFICA ANAP BRASIL","EDUCAÇÃO                                          ","C"
"2317-0077","REVISTA CIENTÍFICA CIÊNCIA EM CURSO","EDUCAÇÃO                                          ","C"
"2172-7929","REVISTA CIENTÍFICA DE EDUCACIÓN E COMUNICACIÓN HACHETETEPÉ","EDUCAÇÃO                                          ","B5"
"1807-5789","REVISTA CIENTÍFICA DO INSTITUTO APHONSIANO DE ENSINO SUPERIOR","EDUCAÇÃO                                          ","C"
"2238-1899","REVISTA CIENTÍFICA E-LOCUÇÃO","EDUCAÇÃO                                          ","C"
"1678-300X","REVISTA CIENTÍFICA ELETRÔNICA DE PEDAGOGIA","EDUCAÇÃO                                          ","C"
"2238-8427","REVISTA CIENTÍFICA FACMAIS","EDUCAÇÃO                                          ","C"
"2316-2511","REVISTA CIENTÍFICA FASF","EDUCAÇÃO                                          ","C"
"2175-0556","REVISTA CIENTÍFICA HERMES","EDUCAÇÃO                                          ","B5"
"1806-1508","REVISTA CIENTÍFICA JOPEF","EDUCAÇÃO                                          ","C"
"2179-6289","REVISTA CIENTÍFICA SENSUS: ADMINISTRAÇÃO","EDUCAÇÃO                                          ","C"
"1806-6283","REVISTA CIENTÍIFICA ELETRÔNICA DE CIÊNCIAS SOCIAIS APLICADAS DA EDUVALE","EDUCAÇÃO                                          ","C"
"2447-5270","REVISTA CIÊNCIA & CIDADANIA","EDUCAÇÃO                                          ","C"
"1984-4271","REVISTA CIÊNCIA & DESENVOLVIMENTO","EDUCAÇÃO                                          ","B2"
"2358-3444","REVISTA CIÊNCIA & LUTA DE CLASSES","EDUCAÇÃO                                          ","C"
"2317-0816","REVISTA CIÊNCIA (IN) CENA","EDUCAÇÃO                                          ","C"
"1679-4605","REVISTA CIÊNCIA EM EXTENSÃO","EDUCAÇÃO                                          ","B5"
"2176-1477","REVISTA CIÊNCIAS & IDÉIAS","EDUCAÇÃO                                          ","C"
"1980-9425","REVISTA CIÊNCIAS DA RELIGIÃO: HISTÓRIA E SOCIEDADE","EDUCAÇÃO                                          ","B3"
"2178-1826","REVISTA CIÊNCIAS EM FOCO","EDUCAÇÃO                                          ","B5"
"2179-1120","REVISTA CIÊNCIAS HUMANAS","EDUCAÇÃO                                          ","B5"
"2177-6229","REVISTA CIÊNCIAS SOCIAIS UNISINOS","EDUCAÇÃO                                          ","B5"
"1981-9269","REVISTA COCAR","EDUCAÇÃO                                          ","B1"
"2237-0315","REVISTA COCAR (ONLINE)","EDUCAÇÃO                                          ","B1"
"1981-9269","REVISTA COCAR (UEPA)","EDUCAÇÃO                                          ","B1"
"0120-3916","REVISTA COLOMBIANA DE EDUCACIÓN","EDUCAÇÃO                                          ","B1"
"2500-5251","REVISTA COLOMBIANA DE MATEMÁTICA EDUCATIVA","EDUCAÇÃO                                          ","B3"
"2037-5662","REVISTA COMPARAZIONE E DIRITTO CIVILE","EDUCAÇÃO                                          ","B3"
"1130-2496","REVISTA COMPLUTENSE DE EDUCACIÓN","EDUCAÇÃO                                          ","B1"
"2236-8000","REVISTA COMUNICAÇÃO MIDIÁTICA (ONLINE)","EDUCAÇÃO                                          ","C"
"1807-7536","REVISTA COMUNICAÇÕES","EDUCAÇÃO                                          ","B5"
"2238-121X","REVISTA COMUNICAÇÕES","EDUCAÇÃO                                          ","B1"
"1807-1414","REVISTA CONEXÃO (AEMS)","EDUCAÇÃO                                          ","C"
"1808-6578","REVISTA CONEXÃO UEPG","EDUCAÇÃO                                          ","B1"
"2238-7315","REVISTA CONEXÃO UEPG","EDUCAÇÃO                                          ","B1"
"2238-7315","REVISTA CONEXÃO UEPG","EDUCAÇÃO                                          ","B1"
"1982-176X","REVISTA CONEXÕES - CIÊNCIA E TECNOLOGIA","EDUCAÇÃO                                          ","C"
"2176-8501","REVISTA CONHECIMENTO ONLINE","EDUCAÇÃO                                          ","C"
"1808-057X","REVISTA CONTABILIDADE & FINANÇAS (ONLINE)","EDUCAÇÃO                                          ","B1"
"2236-3858","REVISTA CONTEMPORANEIDADE, EDUCAÇÃO E TECNOLOGIA","EDUCAÇÃO                                          ","B5"
"2236-4846","REVISTA CONTEMPORÂNEA","EDUCAÇÃO                                          ","C"
"1806-0498","REVISTA CONTEMPORÂNEA (UERJ. ONLINE)","EDUCAÇÃO                                          ","C"
"1809-5747","REVISTA CONTEMPORÂNEA DE EDUCAÇÃO","EDUCAÇÃO                                          ","B2"
"2179-1309","REVISTA CONTEXTO & EDUCAÇÃO","EDUCAÇÃO                                          ","B4"
"1676-188X","REVISTA CONTEXTO & SAÚDE","EDUCAÇÃO                                          ","C"
"2178-8154","REVISTA CONTEXTO (PETROLINA)","EDUCAÇÃO                                          ","B5"
"1519-8227","REVISTA CONTRAPONTOS","EDUCAÇÃO                                          ","C"
"2238-9288","REVISTA CONVERGÊNCIA CRÍTICA","EDUCAÇÃO                                          ","C"
"2316-6134","REVISTA CONVERGÊNCIA LUSÍADA","EDUCAÇÃO                                          ","C"
"2176-4174","REVISTA CORDIS- REVISTA ELETRÔNICA DE HISTÓRIA SOCIAL DA CIDADE","EDUCAÇÃO                                          ","C"
"1984-1124","REVISTA CRIAÇÃO & CRÍTICA","EDUCAÇÃO                                          ","C"
"2182-8717","REVISTA CROMA","EDUCAÇÃO                                          ","C"
"0254-1106","REVISTA CRÍTICA DE CIÊNCIAS SOCIAIS","EDUCAÇÃO                                          ","B1"
"2177-9961","REVISTA CRÍTICA HISTÓRICA","EDUCAÇÃO                                          ","C"
"0257-4314","REVISTA CUBANA DE EDUCACIÓN SUPERIOR","EDUCAÇÃO                                          ","B5"
"0138-6557","REVISTA CUBANA DE MEDICINA MILITAR (IMPRESA)","EDUCAÇÃO                                          ","B1"
"0864-3466","REVISTA CUBANA DE SALUD PÚBLICA (IMPRESA)","EDUCAÇÃO                                          ","B1"
"2316-9060","REVISTA CULTURA E EXTENSÃO USP","EDUCAÇÃO                                          ","C"
"1518-2630","REVISTA DA ABEM","EDUCAÇÃO                                          ","B1"
"1679-2483","REVISTA DA ABET (IMPRESSO)","EDUCAÇÃO                                          ","C"
"1676-4439","REVISTA DA ABET (ONLINE)","EDUCAÇÃO                                          ","C"
"1809-6867","REVISTA DA ABORDAGEM GESTÁLTICA (IMPRESSO)","EDUCAÇÃO                                          ","B1"
"2176-5235","REVISTA DA ACADEMIA DE LETRAS DO VALE DO IGUAÇU","EDUCAÇÃO                                          ","C"
"1982-7830","REVISTA DA ANPOLL (ONLINE)","EDUCAÇÃO                                          ","A2"
"2359-2974","REVISTA DA ASSOCIAÇÃO BRASILEIRA DE ATIVIDADE MOTORA ADAPTADA","EDUCAÇÃO                                          ","C"
"2177-2770","REVISTA DA ASSOCIAÇÃO BRASILEIRA DE PESQUISADORES(AS) NEGROS(AS) - ABPN","EDUCAÇÃO                                          ","B5"
"2177-2770","REVISTA DA ASSOCIAÇÃO BRASILEIRA DE PESQUISADORES/AS NEGROS/AS","EDUCAÇÃO                                          ","B5"
"1516-9162","REVISTA DA ASSOCIAÇÃO PSICANALÍTICA DE PORTO ALEGRE","EDUCAÇÃO                                          ","B5"
"0103-3948","REVISTA DA EDUCAÇÃO FÍSICA (UEM. IMPRESSO)","EDUCAÇÃO                                          ","B1"
"1983-3083","REVISTA DA EDUCAÇÃO FÍSICA (UEM. ONLINE)","EDUCAÇÃO                                          ","B1"
"1980-220X","REVISTA DA ESCOLA DE ENFERMAGEM DA USP","EDUCAÇÃO                                          ","A2"
"1980-220X","REVISTA DA ESCOLA DE ENFERMAGEM DA USP (ONLINE)","EDUCAÇÃO                                          ","A2"
"0873-5719","REVISTA DA ESCOLA SUPERIOR DE EDUCAÇÃO (PORTUGAL)","EDUCAÇÃO                                          ","B5"
"1516-2907","REVISTA DA FACED (IMPRESSO)","EDUCAÇÃO                                          ","B3"
"1980-6620","REVISTA DA FACED (UFBA. ONLINE)","EDUCAÇÃO                                          ","B3"
"2176-9583","REVISTA DA FACULDADE DE ADMINISTRAÇÃO E ECONOMIA - REFAE","EDUCAÇÃO                                          ","B5"
"1984-4840","REVISTA DA FACULDADE DE CIENCIAS MEDICAS DE SOROCABA","EDUCAÇÃO                                          ","B4"
"1984-4840","REVISTA DA FACULDADE DE CIÊNCIAS MÉDICAS DE SOROCABA","EDUCAÇÃO                                          ","B4"
"2236-3475","REVISTA DA FACULDADE DE DIREITO DA UERJ","EDUCAÇÃO                                          ","C"
"0101-7187","REVISTA DA FACULDADE DE DIREITO DA UFG","EDUCAÇÃO                                          ","C"
"0102-2555","REVISTA DA FACULDADE DE EDUCAÇÃO (UNIVERSIDADE DE SÃO PAULO. IMPRESSO)","EDUCAÇÃO                                          ","A1"
"1679-4273","REVISTA DA FACULDADE DE EDUCAÇÃO (UNIVERSIDADE DO ESTADO DE MATO GROSSO)","EDUCAÇÃO                                          ","B2"
"1679-4273","REVISTA DA FACULDADE DE EDUCAÇÃO. UNIVERSIDADE DO ESTADO DE MATO GROSSO","EDUCAÇÃO                                          ","B2"
"0010-4043","REVISTA DA FAEEBA","EDUCAÇÃO                                          ","A2"
"0010-4043","REVISTA DA FAEEBA","EDUCAÇÃO                                          ","A2"
"1519-6569","REVISTA DA FUNDARTE","EDUCAÇÃO                                          ","C"
"1677-9088","REVISTA DA GAMA E SOUZA","EDUCAÇÃO                                          ","C"
"1982-1867","REVISTA DA SBENBIO","EDUCAÇÃO                                          ","B2"
"1413-9006","REVISTA DA SOCIEDADE BRASILEIRA DE ATIVIDADE MOTORA ADAPTADA","EDUCAÇÃO                                          ","B5"
"1679-8708","REVISTA DA UNIFEBE","EDUCAÇÃO                                          ","B4"
"2236-5362","REVISTA DA UNIVERSIDADE VALE DO RIO VERDE","EDUCAÇÃO                                          ","B5"
"1517-0276","REVISTA DA UNIVERSIDADE VALE DO RIO VERDE","EDUCAÇÃO                                          ","B5"
"2317-3777","REVISTA DANÇA","EDUCAÇÃO                                          ","C"
"2236-1197","REVISTA DE ADMINISTRAÇÃO DA UEG","EDUCAÇÃO                                          ","B5"
"1679-5350","REVISTA DE ADMINISTRAÇÃO DA UNIMEP","EDUCAÇÃO                                          ","C"
"1414-5987","REVISTA DE ADMINISTRAÇÃO EDUCACIONAL","EDUCAÇÃO                                          ","B3"
"2359-1382","REVISTA DE ADMINISTRAÇÃO EDUCACIONAL","EDUCAÇÃO                                          ","B3"
"0034-7612","REVISTA DE ADMINISTRAÇÃO PÚBLICA (IMPRESSO)","EDUCAÇÃO                                          ","B2"
"1678-9857","REVISTA DE ANTROPOLOGIA - USP","EDUCAÇÃO                                          ","B1"
"1516-7704","REVISTA DE APS (IMPRESSO)","EDUCAÇÃO                                          ","B4"
"1809-8363","REVISTA DE APS (ONLINE)","EDUCAÇÃO                                          ","B4"
"2237-8294","REVISTA DE ARQUEOLOGIA PÚBLICA","EDUCAÇÃO                                          ","C"
"2237-1427","REVISTA DE CARREIRAS & PESSOAS (RECAPE)","EDUCAÇÃO                                          ","C"
"2237-1427","REVISTA DE CARREIRAS E PESSOAS","EDUCAÇÃO                                          ","C"
"0716-1417","REVISTA DE CIENCIA POLÍTICA (SANTIAGO. IMPRESA)","EDUCAÇÃO                                          ","A2"
"1516-3865","REVISTA DE CIÊNCIAS DA ADMINISTRAÇÃO (CAD/UFSC)","EDUCAÇÃO                                          ","B3"
"1518-7039","REVISTA DE CIÊNCIAS DA EDUCAÇÃO","EDUCAÇÃO                                          ","B3"
"2317-6091","REVISTA DE CIÊNCIAS DA EDUCAÇÃO","EDUCAÇÃO                                          ","B3"
"2178-4582","REVISTA DE CIÊNCIAS HUMANAS","EDUCAÇÃO                                          ","B3"
"0101-9589","REVISTA DE CIÊNCIAS HUMANAS","EDUCAÇÃO                                          ","B3"
"1518-4684","REVISTA DE CIÊNCIAS HUMANAS (FREDERICO WESTPHALEN)","EDUCAÇÃO                                          ","B4"
"1518-4684","REVISTA DE CIÊNCIAS HUMANAS (FREDERICO WESTPHALEN. IMPRESSO)","EDUCAÇÃO                                          ","B4"
"0101-9589","REVISTA DE CIÊNCIAS HUMANAS (UFSC)","EDUCAÇÃO                                          ","B3"
"1981-9250","REVISTA DE CIÊNCIAS HUMANAS - EDUCAÇÃO","EDUCAÇÃO                                          ","B4"
"2236-5176","REVISTA DE CIÊNCIAS HUMANAS UFV","EDUCAÇÃO                                          ","B5"
"1415-5796","REVISTA DE CIÊNCIAS MÉDICAS (PUCCAMP)","EDUCAÇÃO                                          ","C"
"2318-4620","REVISTA DE CIÊNCIAS SOCIAIS (UFC)","EDUCAÇÃO                                          ","C"
"0041-8862","REVISTA DE CIÊNCIAS SOCIAIS - UNIVERSIDADE FEDERAL DO CEARÁ - UFC - ECONOMIA E POLÍTICA","EDUCAÇÃO                                          ","C"
"1989-4988","REVISTA DE CLASESHISTORIA","EDUCAÇÃO                                          ","C"
"1982-6389","REVISTA DE COMUNICAÇÃO E EDUCAÇÃO AMBIENTAL","EDUCAÇÃO                                          ","C"
"2317-5001","REVISTA DE CONTABILIDADE, CIÊNCIA DA GESTÃO E FINANÇAS","EDUCAÇÃO                                          ","C"
"2175-6805","REVISTA DE CULTURA E EXTENSÃO","EDUCAÇÃO                                          ","C"
"0104-0529","REVISTA DE CULTURA TEOLÓGICA","EDUCAÇÃO                                          ","B5"
"0716-1883","REVISTA DE DERECHO (VALPARAISO)","EDUCAÇÃO                                          ","B4"
"1889-8068","REVISTA DE DERECHOS HUMANOS Y ESTUDIOS SOCIALES","EDUCAÇÃO                                          ","B4"
"1809-6077","REVISTA DE DIREITO DA CIDADE","EDUCAÇÃO                                          ","C"
"2175-3326","REVISTA DE DIREITO DA FAT","EDUCAÇÃO                                          ","B5"
"0102-8774","REVISTA DE DIREITO DO TRABALHO (SÃO PAULO)","EDUCAÇÃO                                          ","C"
"2318-9290","REVISTA DE DIVULGAÇÃO INTERDISCIPLINAR VIRTUAL","EDUCAÇÃO                                          ","C"
"1807-2674","REVISTA DE ECONOMIA POLÍTICA E HISTÓRIA ECONÔMICA","EDUCAÇÃO                                          ","C"
"0124-5481","REVISTA DE EDUCACION DE LAS CIENCIAS","EDUCAÇÃO                                          ","A2"
"0034-8082","REVISTA DE EDUCACIÓN","EDUCAÇÃO                                          ","A2"
"0329-5192","REVISTA DE EDUCACIÓN EN BIOLOGÍA","EDUCAÇÃO                                          ","A2"
"1519-3993","REVISTA DE EDUCAÇÃO (CAMPINAS)","EDUCAÇÃO                                          ","B1"
"1415-7772","REVISTA DE EDUCAÇÃO (ITATIBA)","EDUCAÇÃO                                          ","B4"
"1519-3993","REVISTA DE EDUCAÇÃO (PUCCAMP)","EDUCAÇÃO                                          ","B1"
"2358-9299","REVISTA DE EDUCAÇÃO DO COGEIME","EDUCAÇÃO                                          ","C"
"2358-9280","REVISTA DE EDUCAÇÃO DO COGEIME","EDUCAÇÃO                                          ","C"
"2359-0041","REVISTA DE EDUCAÇÃO DO VALE DO ARINOS - RELVA","EDUCAÇÃO                                          ","C"
"2177-8183","REVISTA DE EDUCAÇÃO DO VALE DO SÃO FRANCISCO (REVASF)","EDUCAÇÃO                                          ","B5"
"2316-2260","REVISTA DE EDUCAÇÃO DOM ALBERTO","EDUCAÇÃO                                          ","C"
"2316-7556","REVISTA DE EDUCAÇÃO HISTÓRICA","EDUCAÇÃO                                          ","C"
"1982-7660","REVISTA DE EDUCAÇÃO POPULAR","EDUCAÇÃO                                          ","B2"
"1678-5622","REVISTA DE EDUCAÇÃO POPULAR (IMPRESSO)","EDUCAÇÃO                                          ","B2"
"0104-5962","REVISTA DE EDUCAÇÃO PUBLICA (UFMT)","EDUCAÇÃO                                          ","A2"
"1519-3993","REVISTA DE EDUCAÇÃO PUC-CAMPINAS","EDUCAÇÃO                                          ","B1"
"2318-0870","REVISTA DE EDUCAÇÃO PUC-CAMPINAS","EDUCAÇÃO                                          ","B1"
"0104-5962","REVISTA DE EDUCAÇÃO PÚBLICA","EDUCAÇÃO                                          ","A2"
"2238-2097","REVISTA DE EDUCAÇÃO PÚBLICA","EDUCAÇÃO                                          ","A2"
"2236-3483","REVISTA DE EDUCAÇÃO TÉCNICA E TECNOLÓGICA EM CIÊNCIAS AGRÍCOLAS -","EDUCAÇÃO                                          ","C"
"2236-6377","REVISTA DE EDUCAÇÃO, CIÊNCIA E CULTURA","EDUCAÇÃO                                          ","B5"
"2238-2380","REVISTA DE EDUCAÇÃO, CIÊNCIAS E MATEMÁTICA","EDUCAÇÃO                                          ","B2"
"2238-2380","REVISTA DE EDUCAÇÃO, CIÊNCIAS E MATEMÁTICA","EDUCAÇÃO                                          ","B2"
"2236-6091","REVISTA DE ENFERMAGEM DO CENTRO OESTE MINEIRO (RECOM)","EDUCAÇÃO                                          ","C"
"1981-8963","REVISTA DE ENFERMAGEM UFPE ON LINE","EDUCAÇÃO                                          ","B3"
"1981-8963","REVISTA DE ENFERMAGEM UFPE ON LINE","EDUCAÇÃO                                          ","B3"
"0326-7091","REVISTA DE ENSEÑANZA DE LA FÍSICA","EDUCAÇÃO                                          ","B5"
"1982-1867","REVISTA DE ENSINO DE BIOLOGIA DA ASSOCIAÇÃO BRASILEIRA DE ENSINO DE BIOLOGIA (SBENBIO)","EDUCAÇÃO                                          ","B2"
"1982-1867","REVISTA DE ENSINO DE BIOLOGIA DA ASSOCIAÇÃO BRASILEIRA DE ENSINO DE BIOLOGIA (SBENBIO)","EDUCAÇÃO                                          ","B2"
"2179-2933","REVISTA DE ENSINO DE CIÊNCIAS E ENGENHARIA","EDUCAÇÃO                                          ","B5"
"2179-426X","REVISTA DE ENSINO DE CIÊNCIAS E MATEMÁTICA (RENCIMA)","EDUCAÇÃO                                          ","B5"
"2236-0158","REVISTA DE ENSINO DE ENGENHARIA","EDUCAÇÃO                                          ","B3"
"0101-5001","REVISTA DE ENSINO DE ENGENHARIA","EDUCAÇÃO                                          ","B3"
"2179-4510","REVISTA DE ENSINO DE GEOGRAFIA","EDUCAÇÃO                                          ","B5"
"2238-3360","REVISTA DE EPIDEMIOLOGIA E CONTROLE DE INFECÇÃO","EDUCAÇÃO                                          ","C"
"2386-7418","REVISTA DE ESTUDIOS E INVESTIGACION EN PSICOLOGIA Y EDUCACIÓN","EDUCAÇÃO                                          ","B4"
"0123-885X","REVISTA DE ESTUDIOS SOCIALES (EN LINEA)","EDUCAÇÃO                                          ","A2"
"0717-6945","REVISTA DE ESTUDIOS Y EXPERIENCIAS EN EDUCACIÓN (IMPRESA)","EDUCAÇÃO                                          ","B3"
"1806-3675","REVISTA DE ESTUDOS ACADÊMICOS (UNEMAT)","EDUCAÇÃO                                          ","C"
"1518-9775","REVISTA DE ESTUDOS DA COMUNICAÇÃO (IMPRESSO)","EDUCAÇÃO                                          ","B2"
"2237-2083","REVISTA DE ESTUDOS DA LINGUAGEM","EDUCAÇÃO                                          ","C"
"2446-7189","REVISTA DE ESTUDOS DE CULTURA","EDUCAÇÃO                                          ","C"
"2238-7587","REVISTA DE ESTUDOS DE LITERATURA, CULTURA E ALTERIDADE - IGARAPÉ","EDUCAÇÃO                                          ","B2"
"2238-9180","REVISTA DE ESTUDOS JURÍDICOS E SOCIAIS","EDUCAÇÃO                                          ","C"
"0102-6437","REVISTA DE ESTUDOS UNIVERSITÁRIAS (SOROCABA)","EDUCAÇÃO                                          ","C"
"1984-3992","REVISTA DE EXTENSÃO DA UNIVERSIDADE DE TAUBATÉ","EDUCAÇÃO                                          ","C"
"1980-5934","REVISTA DE FILOSOFIA AURORA","EDUCAÇÃO                                          ","A2"
"2317-9570","REVISTA DE FILOSOFIA MODERNA E CONTEMPORÂNEA","EDUCAÇÃO                                          ","C"
"2236-837X","REVISTA DE GEOGRAFIA","EDUCAÇÃO                                          ","C"
"2236-837X","REVISTA DE GEOGRAFIA (UFJF)","EDUCAÇÃO                                          ","C"
"0719-0573","REVISTA DE GEOGRAFÍA ESPACIOS","EDUCAÇÃO                                          ","C"
"1807-1775","REVISTA DE GESTÃO DA TECNOLOGIA E SISTEMAS DE INFORMAÇÃO (ONLINE)","EDUCAÇÃO                                          ","B1"
"2358-1735","REVISTA DE GESTÃO E CONTABILIDADE DA UFPI","EDUCAÇÃO                                          ","C"
"2178-9010","REVISTA DE GESTÃO E SECRETARIADO","EDUCAÇÃO                                          ","B3"
"2316-3712","REVISTA DE GESTÃO EM SISTEMAS DE SAÚDE","EDUCAÇÃO                                          ","C"
"0327-4233","REVISTA DE HISTORIA","EDUCAÇÃO                                          ","C"
"0034-8309","REVISTA DE HISTORIA (USP)","EDUCAÇÃO                                          ","C"
