"ISSN","TITULO","AREA DE AVALIACAO","ESTRATO"
"0104-7507","AGORA (UNC)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"1984-2538","AGRARIAN (DOURADOS. ONLINE)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B5"
"0742-4477","AGRIBUSINESS (NEW YORK, N.Y. PRINT)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"1414-0810","AGRICULTURA FAMILIAR (UFPA)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"1887-9292","AGRICULTURA FAMILIAR EN ESPAÑA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"2193-7532","AGRICULTURAL AND FOOD ECONOMICS","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"1068-2805","AGRICULTURAL AND RESOURCE ECONOMICS REVIEW","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"0308-521X","AGRICULTURAL SYSTEMS","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"1828-5880","AGRIREGIONI EUROPA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"1982-8470","AGRO@MBIENTE ON-LINE","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"1316-0354","AGROALIMENTARIA (CARACAS)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B1"
"0100-4298","AGROANALYSIS (FGV)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"1510-0839","AGROCIENCIA (MONTEVIDEO)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"0002-1962","AGRONOMY JOURNAL (PRINT)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","A2"
"2525-877X","AGROPAMPA: REVISTA DE GESTAO DO AGRONEGOCIO","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B5"
"0100-7467","AGROPECUARIA TECNICA (UFPB)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"2340-7743","AGUA Y TERRITORIO","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"1413-2591","ALCANCE (UNIVALI)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"1413-2591","ALCANCE (UNIVALI) (CESSOU EM 2007)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"1518-8728","ALCEU (PUCRJ)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"1413-0394","ALETHEIA (ULBRA)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"2359-6651","ALMANAQUE MULTIDISCIPLINAR DE PESQUISA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"2036-5195","ALMATOURISM - JOURNAL OF TOURISM, CULTURE AND TERRITORIAL DEVELOPMENT","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"2318-4817","ALTUS CIENCIAS","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"2322-6307","AMAZONIA INVESTIGA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"1809-4058","AMAZONIA (BANCO DA AMAZONIA. 2005)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B5"
"2317-5125","AMAZONIA (UFPA)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"2317-5125","AMAZONIA - REVISTA DE EDUCACAO EM CIENCIAS E MATEMATICAS (ONLINE)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"2317-4757","AMAZONIA EM FOCO: CIENCIA E TECNOLOGIA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"2238-8893","AMAZONIA, ORGANIZACOES E SUSTENTABILIDADE","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"1983-3415","AMAZONICA - REVISTA DE PSICOPEDAGOGIA, PSICOLOGIA ESCOLAR E EDUCACAO","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B4"
"1809-4422","AMBIENTE & SOCIEDADE (ONLINE)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B1"
"1678-8621","AMBIENTE CONSTRUIDO (ONLINE)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B2"
"1414-753X","AMBIENTE E SOCIEDADE (CAMPINAS)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B1"
"1808-0251","AMBIENCIA","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
"2175-9405","AMBIENCIA (ONLINE)","ADMINISTRACAO PUBLICA E DE EMPRESAS, CIENCIAS CONTABEIS E TURISMO","B3"
